,0
322,29517.911087973323
323,29609.295962415308
324,29700.680397669035
325,29792.063845990113
326,29883.447156735474
327,29974.83103498069
328,30066.215969443652
329,30157.601135832683
330,30248.986758113657
331,30340.37231665356
332,30431.75741908794
333,30523.141216354954
334,30614.524724139228
335,30705.908420644075
336,30797.292484949136
337,30888.677134135112
338,30980.06204987497
339,31071.44712097362
340,31162.832114144243
341,31254.217133592432
342,31345.602171144394
343,31436.987297628842
344,31528.37235364417
345,31619.75724877889
346,31711.141635982054
347,31802.525205585895
348,31893.908510244302
349,31985.292591268557
350,32076.677358303066
351,32168.062423557356
352,32259.44746935683
353,32350.832228869156
354,32442.21633828933
355,32533.600455093234
356,32624.984665379423
357,32716.36900290578
358,32807.75336826509
359,32899.13775242276
360,32990.52215435678
361,33081.906578973605
362,33173.29118462543
363,33264.67587928262
364,33356.06050455239
365,33447.44505322314
366,33538.829332949186
367,33630.21372575894
368,33721.59847388337
369,33812.98355807345
370,33904.36891972199
371,33995.75435192328
372,34087.139638684326
373,34178.52473792202
374,34269.90944748064
375,34361.29405152386
376,34452.67867971425
377,34544.063620826135
378,34635.44870667409
379,34726.833807646
380,34818.218874445156
381,34909.60380325206
382,35000.988816039375
383,35092.37386059783
384,35183.75913772174
385,35275.144519834364
386,35366.52990642188
387,35457.91523817972
388,35549.30040031728
389,35640.685606173116
390,35732.070890806855
391,35823.45624316787
392,35914.84172383617
393,36006.22726546089
394,36097.61259540529
395,36188.99786254282
396,36280.383224914876
397,36371.7687482415
398,36463.154371217235
399,36554.54008106242
400,36645.92592989792
401,36737.311691376824
402,36828.697337580794
403,36920.08280798127
404,37011.46815917427
405,37102.85359800282
406,37194.23903893637
407,37285.624610820836
408,37377.01019768513
409,37468.39579459758
410,37559.78140228365
411,37651.16702918788
412,37742.55256486095
413,37833.938261974436
414,37925.32404948245
415,38016.70985809498
416,38108.09559307167
417,38199.481361548984
418,38290.8670997114
419,38382.25274509004
420,38473.638415933565
421,38565.02416162412
422,38656.40983268535
423,38747.79548910546
424,38839.181285220664
425,38930.56711100463
426,39021.952959058326
427,39113.33881130469
428,39204.72459189953
429,39296.11036753391
430,39387.49610834857
431,39478.88196867842
432,39570.267839821805
433,39661.65372743928
434,39753.03960956897
435,39844.42549247188
436,39935.81138283242
437,40027.19726646334
438,40118.58319536782
439,40209.96914575525
440,40301.35511641359
441,40392.74110021084
442,40484.12707239342
443,40575.51305327219
444,40666.89904293733
445,40758.28505326055
446,40849.67108466863
447,40941.05713884101
448,41032.44321255451
449,41123.82928149255
450,41215.2153688714
451,41306.60147638016
452,41397.98760637989
453,41489.373761245304
454,41580.7599431634
455,41672.146151887966
456,41763.532388738255
457,41854.918643215984
458,41946.30488773769
459,42037.69115172407
460,42129.07743521818
461,42220.46373832914
462,42311.85006042525
463,42403.23639129787
464,42494.62273502292
465,42586.009084196216
466,42677.39544113148
467,42768.7818064527
468,42860.168182181194
469,42951.55455587667
470,43042.940913077146
471,43134.32726962817
472,43225.713593981396
473,43317.09991556667
474,43408.48623548029
475,43499.87256737905
476,43591.25889398583
477,43682.64521092388
478,43774.03152361925
479,43865.41783005455
480,43956.80413687754
481,44048.19045072267
482,44139.57676788808
483,44230.96307519978
484,44322.349372336714
485,44413.735670898364
486,44505.12195877862
487,44596.50823317566
488,44687.894512091305
489,44779.280782883194
490,44870.66706527165
491,44962.05333895309
492,45053.439611552836
493,45144.82588074035
494,45236.21214893123
495,45327.59840935828
496,45418.98465846785
497,45510.370901017064
498,45601.75715536722
499,45693.1433997879
500,45784.52963238241
501,45875.91585520763
502,45967.30209120784
503,46058.68833453977
504,46150.07457095184
505,46241.46079629303
506,46332.847015833104
507,46424.23325401339
508,46515.6194836822
509,46607.005708797165
510,46698.39192776805
511,46789.77815476863
512,46881.1643663335
513,46972.55057901098
514,47063.93678118538
515,47155.323008071115
516,47246.70922851187
517,47338.09542313049
518,47429.48162267579
519,47520.867827120834
520,47612.25400585466
521,47703.640173642234
522,47795.02634352712
523,47886.41250365025
524,47977.798685017166
525,48069.18486178845
526,48160.57102909745
527,48251.95718918219
528,48343.34337156066
529,48434.72956712198
530,48526.115749553435
531,48617.50193461153
532,48708.88812162262
533,48800.27432432305
534,48891.660534089824
535,48983.046740790036
536,49074.43293437878
537,49165.819142884306
538,49257.20536825486
539,49348.59161146859
540,49439.977885946755
541,49531.36418101363
